Area Schedule (PROPOSTA 01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Comments,Name,Number,Perimeter,QUADRA,TIPO DE MACROÁREA,% MÍNIMO,Acréscimo de Área,Area Type,Count,Export to IFC,Export to IFC As,IFC Predefined Type,IfcGUID,Image,Level,P_Purge em DataBase,P_Transformar em Floor,P_Transformar em SHP,P_Verificar Arredondamento,P_Área de Projeto,01.NATUREZA,02.LOTE,03.ZONEAMENTO,04.ÁREA DE LOTE,05.ÁREA REMANESCENTE,06.PERDA POR ATINGIMENTO VIÁRIO,07.COEFICIENTE DE APROVEITAMENTO,08.C.A. RESTANTE,09.ÁREA CONSTRUÍVEL RESTANTE,10.ÁREA CONSTRUÍVEL DO ÍNDICE,11.ÁREA CONSUMIDA DO C.A.,12.ÁREA CONSTRUÍDA TOTAL,13.ÁREA CONSTRUÍDA ABERTA,14.ÁREA CONSTRUÍDA FECHADA,15.ÁREA PRIVATIVA TOTAL,16.PAVIMENTOS TOTAIS,17.ÁREA INDIVIDUAL PAV. SUBSOLO,18.ÁREA INDIVIDUAL PAV. BASE,19.ÁREA INDIVIDUAL PAV. BASE DIFERENCIADO,20.ÁREA INDIVIDUAL PAV. TORRE,21.ÁREA INDIVIDUAL PAV. ÁTICO,22.ÁREA SOMADA PAVIMENTOS SUBSOLOS,23.ÁREA SOMADA PAVIMENTOS BASE,24.ÁREA SOMADA PAVIMENTOS TORRE,25.ÁREA TOTAL INDEFINIDA,26.ÁREA TOTAL COMERCIAL,27.ÁREA TOTAL ESTACIONAMENTO,28.ÁREA TOTAL RESIDENCIAL,29.ÁREA TOTAL DE LAZER,30.ÁREA TOTAL TÉCNICA,31.ÁREA ABERTA TOTAL INDEFINIDA,32.ÁREA ABERTA TOTAL COMERCIAL,33.ÁREA ABERTA TOTAL ESTACIONAMENTO,34.ÁREA ABERTA TOTAL RESIDENCIAL,35.ÁREA ABERTA TOTAL LAZER,36.ÁREA ABERTA TOTAL TÉCNICA,37.ÁREA TOTAL RESIDENCIAL PRIVATIVA,38.ÁREA TOTAL COMERCIAL PRIVATIVA,39.TOTAL DE UNIDADES,40.ÁREA DAS UNIDADES,41.VAGAS PARA X/m² DE COMÉRCIO,42.DEMANDA - VAGAS DE COMÉRCIO,43.VAGAS POR UNIDADE,44.DEMANDA - VAGAS PARA RESIDENCIAL,45.VAGAS PARA UNIDADES VISITANTES,46.VAGAS TOTAIS DEMANDA,47.TOTAL DE VAGAS,48.CAMPO RESERVA A,49.CAMPO RESERVA B,50.CAMPO RESERVA C,51.CAMPO RESERVA D,52.CAMPO RESERVA E,53.C.A. UTILIZADO,54.PERCENTUAL PRIVATIVO FECHADO DO TERRENO,55.PERCENTUAL PRIVATIVO FECHADO DA AREA CONSTRUIDA,56.PERCENTUAL FECHADO DO INDEFINIDO,57.PERCENTUAL FECHADO DO COMERCIAL,58.PERCENTUAL FECHADO DO ESTACIONAMENTO,59.PERCENTUAL FECHADO DO RESIDENCIAL,60.PERCENTUAL FECHADO DO LAZER,61.PERCENTUAL FECHADO DO TÉCNICO,62.TO SUBSOLO LIMITE,63.TO BASE LIMITE,64.TO TORRE LIMITE,65.TO SUBSOLO PROJETO,66.TO BASE PROJETO,67.TO TORRE PROJETO,68.PERCENTUAL PRIVATIVO RES DO PRIVATIVO,69.PERCENTUAL PRIVATIVO COMERCIAL DO PRIVATIVO,70.AREA INDEFINIDA ABERTA E FECHADA,71.AREA COMERCIAL ABERTA E FECHADA,72.AREA ESTACIONAMENTO ABERTA E FECHADA,73.AREA RESIDENCIAL ABERTA E FECHADA,74.AREA LAZER ABERTA E FECHADA,75.AREA TECNICA ABERTA E FECHADA,_VÉRTICES,VIAS_02.NOME,VIAS_03.TIPO DE VIA,VIAS_04.RUA,VIAS_05.RUA PROJETADA,VIAS_06.CALÇADA,VIAS_07.CALÇADA PROJETADA,VIAS_08.RUA ÁREA VERDE,VIAS_09.RUA PAVIMENTAÇÃO,VIAS_10.RUA MEIO-FIO,VIAS_11.RUA PROJETADA ÁREA VERDE,VIAS_12.RUA PROJETADA PAVIMENTAÇÃO,VIAS_13.RUA PROJETADA MEIO-FIO,VIAS_14.CALÇADA ÁREA VERDE,VIAS_15.CALÇADA PAVIMENTAÇÃO,VIAS_16.CALÇADA MEIO-FIO,VIAS_17.CALÇADA PROJETADA ÁREA VERDE,VIAS_18.CALÇADA PROJETADA PAVIMENTAÇÃO,VIAS_19.CALÇADA PROJETADA MEIO-FIO,VIAS_20._CICLOVIA ÁREA,VIAS_21._CICLOVIA ÁREA PROJETADA,VIAS_22._ONIBUS ÁREA,VIAS_23._ONIBUS ÁREA PROJETADA,VIAS_24._VLT ÁREA,VIAS_25._VLT ÁREA PROJETADA,VIAS_26._ESTACIONAMENTO ÁREA,VIAS_27._ESTACIONAMENTO ÁREA PROJETADA,VIAS_28.__CAMPO RESERVA VIA A,VIAS_29.__CAMPO RESERVA VIA B,VIAS_30.__CAMPO RESERVA VIA C,VIAS_31.__CAMPO RESERVA VIA D,VIAS_32.__CAMPO RESERVA VIA E,VIAS_33.CALCADA AREA ASFALTAVEL,VIAS_34.CALCADA PROJETADA AREA ASFALTAVEL,VIAS_35.RUA AREA ASFALTAVEL,VIAS_36.RUA PROJETADA AREA ASFALTAVEL,VIAS_37.VIA,VIAS_38.VIA AREA VERDE,VIAS_39.VIA ASFALTAVEL,VIAS_40.VIA MEIO FIO,VIAS_41.VIA PAVIMENTACAO,VIAS_42.VIA PROJETADA,VIAS_43.VIA PROJETADA AREA ASFALTAVEL,VIAS_44.VIA PROJETADA AREA VERDE,VIAS_45.VIA PROJETADA MEIO FIO,VIAS_46.VIA PROJETADA PAVIMENTACAO,VIAS_47.PERCENTUAL DE AREA ASFALTAVEL,VIAS_48.PERCENTUAL DE AREA VERDE,VIAS_49.PERCENTUAL DE CALCADA,VIAS_50.PERCENTUAL DE MEIO FIO,VIAS_51.PERCENTUAL DE PAVIMENTACAO,VIAS_52.PERCENTUAL DE RUA
1915.08 m²,LOTE,L-121,,176.88,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0L6,,Level 1,,,No,,Yes,Lote,L-121,Z1,1915.09 m²,1915.09 m²,0.00 m²,1.02,0.056498,108.20 m²,1953.39 m²,1845.19 m²,2403.56 m²,510.37 m²,1893.19 m²,1568.41 m²,2,0.00 m²,785.19 m²,0.00 m²,785.19 m²,274.82 m²,0.00 m²,785.19 m²,785.19 m²,0.00 m²,1845.19 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,510.37 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1568.41 m²,0,0.00 m²,40.00 m²,40,1,0,0,40,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963502,81.897709,82.844909,0,97.464599,0,0,0,2.535401,41,41,41,0,41.000034,41,0,100,0.00 m²,2355.56 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669.07 m²,LOTE,L-122,,163.34,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LP,,Level 1,,,No,,Yes,Lote,L-122,Z1,1669.08 m²,1669.08 m²,0.00 m²,1.02,0.056927,95.02 m²,1702.46 m²,1607.44 m²,2100.97 m²,445.52 m²,1655.44 m²,1366.33 m²,2,0.00 m²,684.32 m²,0.00 m²,684.32 m²,238.80 m²,0.00 m²,684.32 m²,684.32 m²,0.00 m²,1607.44 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,445.52 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1366.33 m²,0,0.00 m²,40.00 m²,35,1,0,0,35,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963073,81.86123,82.535405,0,97.100477,0,0,0,2.899523,41,41,41,0,41.000034,41,0,100,0.00 m²,2052.97 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895.91 m²,LOTE,L-123,,176.35,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LO,,Level 1,,,No,,Yes,Lote,L-123,Z1,1895.94 m²,1895.94 m²,0.00 m²,1,0.036499,69.20 m²,1895.94 m²,1826.74 m²,2380.00 m²,505.27 m²,1874.73 m²,1552.72 m²,2,0.00 m²,777.33 m²,0.00 m²,777.33 m²,272.07 m²,0.00 m²,777.33 m²,777.33 m²,0.00 m²,1826.73 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,505.27 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1552.72 m²,0,0.00 m²,40.00 m²,39,1,0,0,39,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963501,81.897513,82.823692,0,97.439637,0,0,0,2.560363,41,41,41,0,40.999932,41,0,100,0.00 m²,2332.00 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773.36 m²,LOTE,L-124,,170.23,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LR,,Level 1,,,No,,Yes,Lote,L-124,Z1,1773.36 m²,1773.36 m²,0.00 m²,1,0.036502,64.73 m²,1773.36 m²,1708.63 m²,2229.23 m²,472.60 m²,1756.63 m²,1452.34 m²,2,0.00 m²,727.08 m²,0.00 m²,727.08 m²,254.48 m²,0.00 m²,727.08 m²,727.08 m²,0.00 m²,1708.63 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,472.60 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1452.34 m²,0,0.00 m²,40.00 m²,37,1,0,0,37,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963498,81.897296,82.67737,0,97.267494,0,0,0,2.732506,41,41,41,0,40.999973,41,0,100,0.00 m²,2181.23 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715.28 m²,LOTE,L-125,,166.61,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LQ,,Level 1,,,No,,Yes,Lote,L-125,Z1,1715.27 m²,1715.27 m²,0.00 m²,1,0.036501,62.61 m²,1715.27 m²,1652.66 m²,2157.78 m²,457.12 m²,1700.66 m²,1404.76 m²,2,0.00 m²,703.26 m²,0.00 m²,703.26 m²,246.14 m²,0.00 m²,703.26 m²,703.26 m²,0.00 m²,1652.66 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,457.12 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1404.76 m²,0,0.00 m²,40.00 m²,36,1,0,0,36,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963499,81.89734,82.600931,0,97.177566,0,0,0,2.822434,41,41,41,0,40.999928,41,0,100,0.00 m²,2109.78 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559.54 m²,LOTE,L-126,,212.86,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LT,,Level 1,,,No,,Yes,Lote,L-126,Z1,2559.56 m²,2559.56 m²,0.00 m²,1.01,0.046502,119.02 m²,2585.15 m²,2466.13 m²,3196.24 m²,682.12 m²,2514.12 m²,2096.20 m²,2,0.00 m²,1049.41 m²,0.00 m²,1049.42 m²,367.30 m²,0.00 m²,1049.41 m²,1049.42 m²,0.00 m²,2466.12 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,682.12 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,2096.20 m²,0,0.00 m²,40.00 m²,53,1,0,0,53,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963498,81.897095,83.377167,0,98.090785,0,0,0,1.909215,41,41,41,0,40.999695,41,0,100,0.00 m²,3148.24 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701.96 m²,LOTE,L-127,,215.17,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LS,,Level 1,,,No,,Yes,Lote,L-127,Z1,2701.96 m²,2701.96 m²,0.00 m²,1,0.0365,98.62 m²,2701.96 m²,2603.34 m²,3371.42 m²,720.08 m²,2651.34 m²,2212.84 m²,2,0.00 m²,1107.81 m²,0.00 m²,1107.81 m²,387.73 m²,0.00 m²,1107.81 m²,1107.81 m²,0.00 m²,2603.34 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,720.08 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,2212.84 m²,0,0.00 m²,40.00 m²,56,1,0,0,56,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.9635,81.897499,83.461157,0,98.189597,0,0,0,1.810403,41,41,41,0,41.000037,41,0,100,0.00 m²,3323.42 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800.11 m²,LOTE,L-128,,216.32,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LV,,Level 1,,,No,,Yes,Lote,L-128,Z1,2800.13 m²,2800.12 m²,0.00 m²,1,0.036501,102.21 m²,2800.13 m²,2697.92 m²,3492.15 m²,746.23 m²,2745.92 m²,2293.23 m²,2,0.00 m²,1148.05 m²,0.00 m²,1148.05 m²,401.82 m²,0.00 m²,1148.05 m²,1148.05 m²,0.00 m²,2697.92 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,746.23 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,2293.23 m²,0,0.00 m²,40.00 m²,58,1,0,0,58,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963499,81.897357,83.514158,0,98.251951,0,0,0,1.748049,41,41,41,0,40.999952,41,0,100,0.00 m²,3444.15 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176.76 m²,LOTE,L-129,,199.7,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LU,,Level 1,,,No,,Yes,Lote,L-129,Z1,2176.74 m²,2176.74 m²,0.00 m²,1.01,0.046503,101.22 m²,2198.51 m²,2097.28 m²,2725.38 m²,580.10 m²,2145.28 m²,1782.69 m²,2,0.00 m²,892.46 m²,0.00 m²,892.46 m²,312.36 m²,0.00 m²,892.46 m²,892.46 m²,0.00 m²,2097.28 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,580.10 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1782.69 m²,0,0.00 m²,40.00 m²,45,1,0,0,45,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963497,81.897251,83.098151,0,97.762531,0,0,0,2.237469,41,41,41,0,40.99998,41,0,100,0.00 m²,2677.38 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2247.84 m²,LOTE,L-130,,198.86,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LH,,Level 1,,,No,,Yes,Lote,L-130,Z1,2247.82 m²,2247.82 m²,0.00 m²,1,0.036501,82.05 m²,2247.82 m²,2165.77 m²,2812.81 m²,599.04 m²,2213.77 m²,1840.90 m²,2,0.00 m²,921.60 m²,0.00 m²,921.60 m²,322.56 m²,0.00 m²,921.60 m²,921.60 m²,0.00 m²,2165.77 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,599.04 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1840.90 m²,0,0.00 m²,40.00 m²,47,1,0,0,47,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.9635,81.897436,83.156989,0,97.831752,0,0,0,2.168248,41,41,41,0,40.999974,41,0,100,0.00 m²,2764.81 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2160.76 m²,LOTE,L-131,,200.44,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LG,,Level 1,,,No,,Yes,Lote,L-131,Z1,2160.80 m²,2160.80 m²,0.00 m²,1,0.036624,79.14 m²,2160.80 m²,2081.66 m²,2705.79 m²,576.12 m²,2129.66 m²,1769.41 m²,2,0.00 m²,885.93 m²,0.00 m²,885.93 m²,309.81 m²,0.00 m²,885.93 m²,885.93 m²,0.00 m²,2081.66 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,576.12 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1769.41 m²,0,0.00 m²,40.00 m²,45,1,0,0,45,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963376,81.886916,83.084204,0,97.746122,0,0,0,2.253878,41,41,41,0,40.999984,41,0,100,0.00 m²,2657.79 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2235.11 m²,LOTE,L-132,,211.6,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LJ,,Level 1,,,No,,Yes,Lote,L-132,Z1,2235.14 m²,2235.14 m²,0.00 m²,1.01,0.0465,103.93 m²,2257.49 m²,2153.55 m²,2797.23 m²,595.67 m²,2201.56 m²,1830.52 m²,2,0.00 m²,916.41 m²,0.00 m²,916.41 m²,320.74 m²,0.00 m²,916.41 m²,916.41 m²,0.00 m²,2153.56 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,595.67 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1830.52 m²,0,0.00 m²,40.00 m²,46,1,0,0,46,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.9635,81.897611,83.146767,0,97.819726,0,0,0,2.180274,41,41,41,0,41.000136,41,0,100,0.00 m²,2749.23 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838.55 m²,LOTE,L-133,,221.15,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LI,,Level 1,,,No,,Yes,Lote,L-133,Z1,2838.56 m²,2838.56 m²,0.00 m²,1,0.036501,103.61 m²,2838.56 m²,2734.95 m²,3539.43 m²,756.48 m²,2782.95 m²,2324.71 m²,2,0.00 m²,1163.81 m²,0.00 m²,1163.81 m²,407.33 m²,0.00 m²,1163.81 m²,1163.81 m²,0.00 m²,2734.95 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,756.48 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,2324.71 m²,0,0.00 m²,40.00 m²,59,1,0,0,59,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963499,81.89748,83.533931,0,98.275213,0,0,0,1.724787,41,41,41,0,41.000074,41,0,100,0.00 m²,3491.43 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2932.39 m²,LOTE,L-134,,225.85,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LL,,Level 1,,,No,,Yes,Lote,L-134,Z1,2932.39 m²,2932.39 m²,0.00 m²,1,0.0365,107.03 m²,2932.39 m²,2825.36 m²,3654.84 m²,781.48 m²,2873.36 m²,2401.55 m²,2,0.00 m²,1202.28 m²,0.00 m²,1202.28 m²,420.80 m²,0.00 m²,1202.28 m²,1202.28 m²,0.00 m²,2825.36 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,781.48 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,2401.55 m²,0,0.00 m²,40.00 m²,61,1,0,0,61,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.9635,81.89747,83.580057,0,98.329479,0,0,0,1.670521,41,41,41,0,40.99998,41,0,100,0.00 m²,3606.84 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2948.87 m²,LOTE,L-135,,227.08,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LK,,Level 1,,,No,,Yes,Lote,L-135,Z1,2948.91 m²,2948.91 m²,0.00 m²,1,0.036501,107.64 m²,2948.91 m²,2841.27 m²,3675.15 m²,785.88 m²,2889.27 m²,2415.08 m²,2,0.00 m²,1209.05 m²,0.00 m²,1209.05 m²,423.17 m²,0.00 m²,1209.05 m²,1209.05 m²,0.00 m²,2841.27 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,785.88 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,2415.08 m²,0,0.00 m²,40.00 m²,61,1,0,0,61,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963499,81.897326,83.587879,0,98.338682,0,0,0,1.661318,41,41,41,0,40.99992,41,0,100,0.00 m²,3627.15 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114.17 m²,LOTE,L-136,,211.27,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LN,,Level 1,,,No,,Yes,Lote,L-136,Z1,2114.18 m²,2114.18 m²,0.00 m²,1,0.036538,77.25 m²,2114.18 m²,2036.93 m²,2648.44 m²,563.51 m²,2084.93 m²,1731.39 m²,2,0.00 m²,866.81 m²,0.00 m²,866.82 m²,303.30 m²,0.00 m²,866.81 m²,866.82 m²,0.00 m²,2036.93 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,563.51 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1731.39 m²,0,0.00 m²,40.00 m²,44,1,0,0,44,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963462,81.894226,83.043102,0,97.697767,0,0,0,2.302233,41,41,41,0,40.999974,41,0,100,0.00 m²,2600.44 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2226.97 m²,LOTE,L-137,,214.43,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0LM,,Level 1,,,No,,Yes,Lote,L-137,Z1,2227.03 m²,2227.03 m²,0.00 m²,1,0.036502,81.29 m²,2227.03 m²,2145.74 m²,2787.24 m²,593.50 m²,2193.74 m²,1823.88 m²,2,0.00 m²,913.08 m²,0.00 m²,913.08 m²,319.58 m²,0.00 m²,913.08 m²,913.08 m²,0.00 m²,2145.74 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,593.50 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1823.88 m²,0,0.00 m²,40.00 m²,46,1,0,0,46,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963498,81.897267,83.140161,0,97.811955,0,0,0,2.188045,41,41,41,0,40.999909,41,0,100,0.00 m²,2739.24 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426.09 m²,LOTE,L-138,,212.37,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0Lf,,Level 1,,,No,,Yes,Lote,L-138,Z1,2426.07 m²,2426.07 m²,0.00 m²,1,0.036501,88.55 m²,2426.07 m²,2337.51 m²,3032.06 m²,646.55 m²,2385.51 m²,1986.88 m²,2,0.00 m²,994.69 m²,0.00 m²,994.69 m²,348.14 m²,0.00 m²,994.69 m²,994.69 m²,0.00 m²,2337.51 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,646.55 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1986.88 m²,0,0.00 m²,40.00 m²,50,1,0,0,50,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963499,81.897397,83.289675,0,97.987853,0,0,0,2.012147,41,41,41,0,40.999946,41,0,100,0.00 m²,2984.06 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402.65 m²,LOTE,L-139,,212.24,,Lote,0.65,,Building Common Area,1,By Type,,,0DXu4tcnT7VfY8rCavS0Le,,Level 1,,,No,,Yes,Lote,L-139,Z1,2402.63 m²,2402.63 m²,0.00 m²,1,0.036498,87.69 m²,2402.63 m²,2314.94 m²,3003.25 m²,640.30 m²,2362.94 m²,1967.70 m²,2,0.00 m²,985.08 m²,0.00 m²,985.08 m²,344.78 m²,0.00 m²,985.08 m²,985.08 m²,0.00 m²,2314.94 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,0.00 m²,640.30 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,0.00 m²,1967.70 m²,0,0.00 m²,40.00 m²,50,1,0,0,50,0,Opcao A,Opcao A,Opcao A,Opcao A,Opcao A,0.963502,81.897761,83.273339,0,97.968634,0,0,0,2.031366,41,41,41,0,41.000094,41,0,100,0.00 m²,2955.25 m²,0.00 m²,0.00 m²,0.00 m²,48.00 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
